,"页面URL","访客数(UV)","IP数","贡献浏览量","跳出率","平均访问时长",
,"总计","2,872","2,785","4,765","82.62%"," 00:02:59",
1,"https://jupyter.cn","503","500","1,161","67.38%"," 00:02:51",
2,"http://jupyter.cn","48","48","326","36.49%"," 00:07:32",
3,"http://localhost:4000","9","8","141","22.22%"," 00:25:48",
4,"https://jupyter.cn/2018/11/29/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-Python-%E5%B9%B3%E7%A8%B3%E5%BA%8F%E5%88%97%E7%9A%84%E7%9F%A2%E9%87%8F%E9%80%92%E6%8E%A8%E9%A2%84%E6%8A%A5.1","6","6","87","83.33%"," 00:11:15",
5,"https://jupyter.cn/2018/11/01/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-STATA-%E7%AE%80%E5%8D%95%E7%BA%BF%E6%80%A7%E5%9B%9E%E5%BD%92%E6%A8%A1%E5%9E%8B","50","50","62","86%"," 00:02:32",
6,"https://jupyter.cn/2018/05/04/eprime%E5%A4%A7%E9%87%8F%E6%A1%88%E4%BE%8B%E7%A8%8B%E5%BA%8F%E4%B8%8B%E8%BD%BD","48","48","60","87.76%"," 00:03:00",
7,"https://jupyter.cn/2018/10/30/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-STATA-%E9%9D%9E%E7%BA%BF%E6%80%A7%E5%9B%9E%E5%BD%92","38","38","53","84.62%"," 00:02:19",
8,"https://jupyter.cn/2018/11/16/AmosMplusHLM%E7%BB%93%E6%9E%84%E6%96%B9%E7%A8%8B%E6%A8%A1%E5%9E%8B%E5%A4%9A%E5%B1%82%E7%BA%BF%E6%80%A7%E6%A8%A1%E5%9E%8B%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1%E5%92%A8%E8%AF%A2","43","43","50","86.36%"," 00:03:34",
9,"https://jupyter.cn/2019/08/12/questionaire-43775166","16","16","41","76.47%"," 00:01:52",
10,"https://jupyter.cn/2019/08/26/questionaire-44633749","23","24","36","80.77%"," 00:01:24",
11,"https://jupyter.cn/2018/10/29/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-Python-%E9%9D%9E%E7%BA%BF%E6%80%A7%E5%9B%9E%E5%BD%92","20","20","36","60%"," 00:04:17",
12,"https://jupyter.cn/2019/08/31/questionaire-44891173","5","6","33","42.86%"," 00:08:19",
13,"https://jupyter.cn/2019/06/02/questionaire-38475821","18","18","22","83.33%"," 00:05:49",
14,"https://jupyter.cn/tags/%E9%97%AE%E5%8D%B7%E4%BB%A3%E5%A1%AB","11","11","21","63.64%"," 00:03:29",
15,"https://jupyter.cn/2019/09/20/questionaire-46007953","17","17","21","89.47%"," 00:01:03",
16,"https://jupyter.cn/tags/%E9%97%AE%E5%8D%B7%E5%A4%A7%E5%85%A8","5","5","21","20%"," 00:02:46",
17,"https://jupyter.cn/2019/07/15/questionaire-41103914","13","13","21","84.62%"," 00:01:00",
18,"https://jupyter.cn/2019/06/27/questionaire-41573270","19","19","20","100%"," 00:05:50",
